N,rv,rg,z,time,interaction_type,idr,mr,id1,m1,id2,m2,r,typer,type1,type2
16.0,2.0,20.0,0.0002,10.5775127642,disrupt2,1620445,6.79748,73589,6.75047,1620445,39.0969,1.08507,14,14,4
16.0,2.0,20.0,0.0002,11.0578167106,disrupt2,1672963,8.38462,226925,8.38427,1672963,37.3808,0.366334,14,14,4
16.0,2.0,20.0,0.0002,11.3479236906,disrupt2,1609579,8.01778,682089,8.0175,1609579,35.5793,1.21461,14,14,4
16.0,2.0,20.0,0.0002,11.698882378599999,disrupt2,1643041,6.41637,1484163,6.4159,1643041,34.8353,0.99019,14,14,4
16.0,2.0,20.0,0.0002,11.8553986322,disrupt2,1610655,10.4695,851837,10.4693,1610655,32.7358,0.871504,14,14,4
16.0,2.0,20.0,0.0002,11.9255903698,disrupt2,1615806,6.4154,1529452,6.41531,1615806,34.0639,2.74181,14,14,4
16.0,2.0,20.0,0.0002,12.005546683799999,disrupt2,1634737,7.50216,728692,7.50209,1634737,34.8431,1.8038,14,14,4
16.0,2.0,20.0,0.0002,12.1486897132,disrupt2,1634509,7.40252,442173,7.40241,1634509,33.0857,0.253601,14,14,4
16.0,2.0,20.0,0.0002,12.1486897132,disrupt2,1612212,6.1528,799366,6.15243,1612212,33.6118,0.824073,14,14,4
16.0,2.0,20.0,0.0002,12.344830334800001,disrupt2,1631844,7.54215,614367,7.54194,1631844,32.4961,1.07955,14,14,4
16.0,2.0,20.0,0.0002,12.344830334800001,disrupt2,1608961,7.95992,1058998,7.95987,1608961,33.8305,1.23638,14,14,4
16.0,2.0,20.0,0.0002,12.7002467642,disrupt2,1666400,6.17235,1048472,6.17227,1666400,31.9856,0.782263,14,14,4
16.0,2.0,20.0,0.0002,13.390842892199998,disrupt2,1629956,6.01407,1072913,6.01376,1629956,30.0269,1.57281,14,14,4
16.0,2.0,20.0,0.0002,13.5730442272,disrupt2,1635032,7.93042,744761,7.92996,1635032,30.0335,0.361768,14,14,4
16.0,2.0,20.0,0.0002,13.5730442272,disrupt2,1632918,8.36946,185177,8.36898,1632918,29.6958,0.635527,14,14,4
16.0,2.0,20.0,0.0002,13.852042232599999,disrupt2,1641864,8.30723,1556663,8.30721,1641864,29.1921,3.06306,14,14,4
16.0,2.0,20.0,0.0002,14.358951111799998,disrupt2,1676082,8.26105,446597,8.2606,1676082,27.9542,0.409742,14,14,4
16.0,2.0,20.0,0.0002,14.702550988599999,disrupt2,1620228,7.81749,1570202,7.81734,1620228,27.3179,3.38442,14,14,4
16.0,2.0,20.0,0.0002,14.823405310999998,disrupt2,1648767,6.2493,241647,6.24917,1648767,25.9428,0.284598,14,14,4
16.0,2.0,20.0,0.0002,14.823405310999998,disrupt2,1617828,6.31204,1570114,6.31189,1617828,25.9702,1.72047,14,14,4
16.0,2.0,20.0,0.0002,14.999167686199998,disrupt2,1613832,8.18102,350672,8.18091,1613832,26.498,0.719273,14,14,4
16.0,2.0,20.0,0.002,7.770550838199999,disrupt2,1603159,11.8158,386480,11.8158,1603159,54.0162,1.68095,14,14,2
16.0,2.0,20.0,0.002,8.9449180448,disrupt1,1003608,19.0106,1003608,8.27381,1600677,16.38,1.94612,14,14,7
16.0,2.0,20.0,0.002,12.2064988358,disrupt2,1634509,14.4556,442173,8.56256,1634509,10.6364,0.477227,14,14,7
16.0,2.0,20.0,0.002,12.4177108688,disrupt2,1631844,14.4805,614367,8.63576,1631844,10.3135,0.379418,14,14,7
16.0,2.0,20.0,0.02,6.46643505374,disrupt2,1621479,14.6096,1354910,8.54345,1621479,11.7435,1.35364,14,14,7
16.0,2.0,20.0,0.02,6.46643505374,disrupt2,1640235,15.2688,1496953,9.18667,1640235,10.744,1.80547,14,14,7
16.0,2.0,20.0,0.02,7.063156808479999,disrupt2,1652541,13.4984,1172438,7.40692,1652541,11.3326,0.825151,14,14,7
16.0,2.0,8.0,0.0002,7.695264539,disrupt2,1668676,7.24018,29137,7.23991,1668676,44.8656,0.333773,14,14,4
