N,rv,rg,z,time,interaction_type,id_merger,mass_merger,id1,m1,id2,m2,id3,m3,id4,m4,r,typem,type1,type2,type3,type4,b[RSUN],vinf[km/s]
16,0.5,2,0.002,249.8359214,single-single,2694814,16.7925,1137983,16.7925,1014814,3.29286,-100,-100,-100,-100,0.0735325,14,14,4,-100,-100,1762.31,8.26866
16,0.5,2,0.002,255.2267782,single-single,1982972,14.4035,1460615,14.4035,302972,3.25302,-100,-100,-100,-100,0.0372579,14,14,4,-100,-100,265.828,41.5624
16,0.5,2,0.002,258.0155184,single-single,2574549,13.4491,2778907,13.4491,894548,3.26759,-100,-100,-100,-100,0.367021,14,14,4,-100,-100,298.445,34.1416
16,0.5,2,0.002,273.1895201,single-single,2137339,17.0359,457339,17.0359,1368170,3.2063,-100,-100,-100,-100,0.0912912,14,14,4,-100,-100,209.663,62.1967
16,0.5,2,0.002,280.2290327,single-single,3118736,16.2804,1602350,16.2804,1438736,3.15838,-100,-100,-100,-100,0.176966,14,14,4,-100,-100,268.373,39.3485
16,0.5,2,0.002,326.6983071,single-single,1816976,14.9567,1816975,14.9567,760243,2.95133,-100,-100,-100,-100,0.0851897,14,14,4,-100,-100,247.262,54.9261
16,0.5,2,0.002,343.6669024,single-single,1919884,9.48628,1919883,9.48628,495302,2.88421,-100,-100,-100,-100,0.092273,14,14,4,-100,-100,247.842,47.7438
16,0.5,2,0.002,345.4544203,single-single,1699098,20.5855,1699097,20.5855,394180,2.96418,-100,-100,-100,-100,0.0592564,14,14,4,-100,-100,330.204,52.1845
16,0.5,2,0.002,349.7193443,single-single,1851742,16.069,1851741,16.069,598850,2.82768,-100,-100,-100,-100,0.561353,14,14,4,-100,-100,478.584,18.1407
16,0.5,2,0.002,351.7306337,single-single,2595958,17.1598,1020802,17.1598,915958,2.82794,-100,-100,-100,-100,0.211831,14,14,4,-100,-100,166.394,34.5664
16,0.5,2,0.002,361.1316865,single-single,2334148,16.2878,1369076,16.2878,654148,2.86697,-100,-100,-100,-100,0.116075,14,14,4,-100,-100,281.84,42.8784
16,0.5,2,0.002,390.1176029,single-single,1837555,14.8959,1516324,14.8959,157555,2.8288,-100,-100,-100,-100,0.0614016,14,14,4,-100,-100,163.149,71.0684
16,0.5,2,0.002,453.1211969,single-single,1769756,16.708,1769755,16.708,1499464,3.60282,-100,-100,-100,-100,0.0486703,14,14,4,-100,-100,201.404,46.4326
16,0.5,2,0.002,475.5655584,single-single,1924630,13.51,1924629,13.51,628187,2.61618,-100,-100,-100,-100,0.0293449,14,14,4,-100,-100,162.068,47.2771
16,0.5,2,0.002,491.4329861,single-single,1737315,19.996,1737314,19.996,946089,3.07939,-100,-100,-100,-100,0.0406617,14,14,4,-100,-100,1274.17,14.1543
16,0.5,2,0.002,528.3826883,single-single,1708755,16.3559,1268584,16.3559,28755,2.46846,-100,-100,-100,-100,0.499457,14,14,4,-100,-100,305.08,8.67869
16,0.5,2,0.002,540.110787,binary-single,2321701,15.0299,1327833,15.0299,641701,3.50841,-100,-100,-100,-100,0.0305071,14,14,4,-100,-100,-100,-100
16,0.5,2,0.002,557.1182991,binary-single,2276237,17.1598,2595958,17.1598,596236,2.34819,-100,-100,-100,-100,0.0464073,14,14,3,-100,-100,-100,-100
16,0.5,2,0.002,578.4924495,single-single,1848325,18.7372,1943339,18.7372,168324,2.33639,-100,-100,-100,-100,0.176123,14,14,4,-100,-100,442.702,26.5945
16,0.5,2,0.002,637.9678847,single-single,1941928,19.2395,1097167,19.2395,261928,2.34024,-100,-100,-100,-100,0.11207,14,14,4,-100,-100,387.919,24.8773
