N,rv,rg,z,t_snapshot[myr],id,m[MSUN],r,vr,vt,E,J,binflag,m0[MSUN],m1[MSUN],id0,id1,a[AU],e,startype,luminosity[LSUN],radius[RSUN],bin_startype0,bin_startype1,bin_star_lum0[LSUN],bin_star_lum1[LSUN],bin_star_radius0[RSUN],bin_star_radius1[RSUN],bin.Eb,eta,star.phi,rad0,rad1,tb,lum0,lum1,massc0,massc1,radc0,radc1,menv0,menv1,renv0,renv1,tms0,tms1,dmdt0,dmdt1,radrol0,radrol1,ospin0,ospin1,B0,B1,formation0,formation1,bacc0,bacc1,tacc0,tacc1,mass0_0,mass0_1,epoch0,epoch1,ospin,B,formation
16.0,0.5,2.0,0.002,0,294595,4.9460731,0.41755395,0.10101449,1.1427448,-0.70950435,0.47715759,-100,-100,-100,-100,-100,-100,-100,1,610.79967,2.0050421,-100,-100,-100,-100,-100,-100,-100,-100,-1.36753910517,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5538.18,0,0
16.0,0.5,2.0,0.002,0,302972,3.2739245,0.42371375,0.074196801,0.82220192,-1.0202807,0.34837826,-100,-100,-100,-100,-100,-100,-100,1,148.02555,1.5738113,-100,-100,-100,-100,-100,-100,-100,-100,-1.36104127239,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6364.07,0,0
16.0,0.5,2.0,0.002,0,311248,10.581543,0.42993274,0.21740832,1.0295208,-0.80088307,0.44262471,-100,-100,-100,-100,-100,-100,-100,1,6814.9125,3.1645863,-100,-100,-100,-100,-100,-100,-100,-100,-1.35447281981,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3305.17,0,0
16.0,0.5,2.0,0.002,0,311906,5.1199268,0.430446,0.48311562,0.98463477,-0.75247775,0.4238321,-100,-100,-100,-100,-100,-100,-100,1,685.34523,2.0465336,-100,-100,-100,-100,-100,-100,-100,-100,-1.35393091445,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5432.61,0,0
16.0,0.5,2.0,0.002,0,-100,9.372254,0.4352401,-0.14963247,0.72787058,-1.0727852,0.31679846,1,9.2388652,0.13338879,318510,1658736,0.047461628,0.21020526,-100,-100,-100,1,0,4519.4095,0.0030128328,2.915108,0.15416411,-1.4219106e-06,2.0941975,-1.34887794803,2.91511,0.154164,1.23362,4519.41,0.00301283,0,0,0,0,1e-10,0.0666944,1e-10,0.100207,29.7362,1.4967e+06,-4.13993e-05,2.72526e-09,0.40626,0.131852,3652.3,8.39233,0,0,0,0,0,0,0,0,9.23887,0.133389,0,0,-100,-100,-100
16.0,0.5,2.0,0.002,0,321552,5.1870277,0.43752055,0.034850005,0.73637574,-1.0747455,0.32217952,-100,-100,-100,-100,-100,-100,-100,1,715.64859,2.0624087,-100,-100,-100,-100,-100,-100,-100,-100,-1.34647737468,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5392.33,0,0
16.0,0.5,2.0,0.002,0,337490,8.9734877,0.44926064,0.20092448,1.037283,-0.7759803,0.46601045,-100,-100,-100,-100,-100,-100,-100,1,4132.9097,2.8642285,-100,-100,-100,-100,-100,-100,-100,-100,-1.33414367889,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3730.73,0,0
16.0,0.5,2.0,0.002,0,344506,0.94547801,0.45439794,-0.086362485,0.55534387,-1.1708297,0.25234711,-100,-100,-100,-100,-100,-100,-100,1,1.0114783,0.87597446,-100,-100,-100,-100,-100,-100,-100,-100,-1.32876232248,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,897.283,0,0
16.0,0.5,2.0,0.002,0,-100,5.0770787,0.45983735,1.0229783,0.66394863,-0.57941772,0.30530838,1,3.5955989,1.4814797,352041,1646506,0.030112837,0,-100,-100,-100,1,1,205.70688,7.2850439,1.6620357,1.1004264,-9.6870659e-06,18.83362,-1.32307386276,1.66204,1.10043,0.847053,205.707,7.28504,0,0,0,0,1e-10,1e-10,1e-10,1e-10,194.792,1911.35,-9.61261e-07,3.3662e-08,0.561567,0.556711,6290.45,2635.18,0,0,0,0,0,0,0,0,3.5956,1.48148,0,0,-100,-100,-100
16.0,0.5,2.0,0.002,0,361712,2.187354,0.46693893,0.24160049,1.2364935,-0.52203821,0.57736696,-100,-100,-100,-100,-100,-100,-100,1,33.936499,1.2554101,-100,-100,-100,-100,-100,-100,-100,-100,-1.31568171125,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5279.58,0,0
