#N,#rv,#rg,#z,#t_snapshot[myr],#M1[MSUN],#M2[MSUN],#k1,#k2,#id1,#id2,#sma[AU],#ecc,#snapshot
16.0,0.5,2.0,0.02,392.20260415248,0.69498198,9.0212685,11.0,14.0,382164.0,441499.0,0.0073380467,0.36910937,initial.bhinfo0060
16.0,0.5,2.0,0.02,392.20260415248,6.8053882,0.90406735,14.0,11.0,1875064.0,1979784.0,0.34746329,0.34219131,initial.bhinfo0060
16.0,0.5,2.0,0.02,404.09011126104,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.064659687,0.55616671,initial.bhinfo0061
16.0,0.5,2.0,0.02,404.09011126104,6.7831032,0.91547215,14.0,11.0,1693642.0,713685.0,0.80930362,0.51884866,initial.bhinfo0061
16.0,0.5,2.0,0.02,404.09011126104,6.8053882,0.90406735,14.0,11.0,1875064.0,1979784.0,0.35689894,0.35340266,initial.bhinfo0061
16.0,0.5,2.0,0.02,404.09011126104,0.036995839,9.0632269,11.0,14.0,382164.0,441499.0,0.002148679,6.6941173e-06,initial.bhinfo0061
16.0,0.5,2.0,0.02,417.22693506959996,0.023801956,9.0764208,11.0,14.0,382164.0,441499.0,0.0029324893,2.7516103e-06,initial.bhinfo0062
16.0,0.5,2.0,0.02,417.22693506959996,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.064618117,0.55594456,initial.bhinfo0062
16.0,0.5,2.0,0.02,417.22693506959996,0.91547215,6.7831032,11.0,14.0,713685.0,1693642.0,0.50998665,0.93038486,initial.bhinfo0062
16.0,0.5,2.0,0.02,431.13831754271996,0.020230667,9.0799921,11.0,14.0,382164.0,441499.0,0.0032847831,1.9759393e-06,initial.bhinfo0063
16.0,0.5,2.0,0.02,431.13831754271996,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.064574084,0.55570902,initial.bhinfo0063
